Date,Open,High,Low,Close,Adj Close,Volume
2017-11-05,308.644989,329.451996,294.541992,314.681000,314.681000,2621536960
2017-11-12,314.690002,349.615997,298.513000,347.612000,347.612000,6516341888
2017-11-19,347.401001,485.191986,344.739990,466.276001,466.276001,9299877952
2017-11-26,465.973999,522.307007,401.243011,463.449005,463.449005,10711269952
2017-12-03,463.704987,504.147003,414.411011,473.502014,473.502014,11680886912
2017-12-10,472.789001,753.120972,429.514008,696.208984,696.208984,21625969792
2017-12-17,696.237000,881.943970,543.762024,719.387024,719.387024,24490220032
2017-12-24,721.768982,789.252991,614.921997,717.257019,717.257019,17319399936
2017-12-31,712.211975,1075.390015,710.119019,1041.680054,1041.680054,33874769152
2018-01-07,1043.010010,1432.880005,1016.049988,1396.420044,1396.420044,49406220800
2018-01-14,1397.479980,1400.560059,780.921997,1155.150024,1155.150024,40570990336
2018-01-21,1155.680054,1155.680054,920.539978,1107.069946,1107.069946,25359680000
2018-01-28,1111.780029,1257.770020,757.979980,964.018982,964.018982,32171280384
2018-02-04,964.666992,969.031982,574.419006,860.414978,860.414978,26815610112
2018-02-11,859.288025,976.594971,788.221985,974.114990,974.114990,17424910464
2018-02-18,973.348999,982.932983,794.791016,840.515015,840.515015,16225070080
2018-02-25,839.458984,896.258972,822.380981,857.224976,857.224976,13171709952
2018-03-04,856.185974,869.919983,648.106995,686.890015,686.890015,13372539776
2018-03-11,685.312012,742.513977,549.096008,552.778992,552.778992,11019820032
2018-03-18,551.640015,589.606995,460.088013,526.439026,526.439026,12767059840
2018-03-25,522.703003,535.820984,368.632996,396.457001,396.457001,11094450048
2018-04-01,397.253998,418.967987,363.804993,385.313995,385.313995,8139581056
2018-04-08,385.743011,526.469971,385.601990,501.477997,501.477997,11519607872
2018-04-15,502.880005,621.888000,500.250000,605.395020,605.395020,14727169792
2018-04-22,606.119019,708.875000,593.869019,683.677979,683.677979,20689900032
2018-04-29,683.911987,827.455017,637.539978,816.119995,816.119995,21874279936
2018-05-06,816.088013,835.057007,644.065979,686.047974,686.047974,21927560192
2018-05-13,687.174988,742.169983,663.809021,696.530029,696.530029,17044720000
2018-05-20,697.922974,723.752991,557.205994,587.280029,587.280029,15984299776
2018-05-27,588.520020,597.077026,512.552002,591.807983,591.807983,14341800320
2018-06-03,591.258972,624.513000,580.981995,597.562012,597.562012,12374009984
2018-06-10,594.344971,594.344971,459.003998,499.641998,499.641998,13810920064
2018-06-17,499.459991,543.716980,456.877014,474.519989,474.519989,11441080064
2018-06-24,474.768005,475.359009,407.946991,455.179993,455.179993,13625260032
2018-07-01,455.242004,491.660004,446.385010,491.660004,491.660004,11185810048
2018-07-08,492.067993,503.199005,422.809998,436.085999,436.085999,10310829952
2018-07-15,435.882996,513.432983,433.920990,462.436005,462.436005,13262900096
2018-07-22,462.437988,483.696014,449.727997,466.898010,466.898010,12041600000
2018-07-29,466.915009,470.355988,399.910004,407.252014,407.252014,12240420016
2018-08-05,407.346008,414.540009,308.488007,322.112000,322.112000,11732510000
2018-08-12,320.822998,328.589996,254.649994,295.812012,295.812012,12705060000
2018-08-19,295.670013,307.097992,264.997986,279.645996,279.645996,9463170000
2018-08-26,279.524994,301.144012,272.444000,295.341003,295.341003,10072890000
2018-09-02,295.453003,298.686005,193.259003,197.951004,197.951004,11953570000
2018-09-09,198.384995,226.604004,170.257004,223.074005,223.074005,12766090000
2018-09-16,222.802994,251.195999,195.307999,240.479996,240.479996,13596230000
2018-09-23,240.992004,247.464005,206.490005,231.634995,231.634995,13575830000
2018-09-30,231.328995,236.985992,213.970993,225.119995,225.119995,11120970000
2018-10-07,225.434998,230.764999,188.707001,199.841003,199.841003,10553520000
2018-10-14,199.690994,222.117996,194.158997,205.429993,205.429993,10880620000
2018-10-21,205.389999,208.154999,201.550995,204.210007,204.210007,8208010000
2018-10-28,204.509995,205.919006,195.733994,200.186005,200.186005,9557970000
2018-11-04,200.158005,221.651993,198.985992,212.533005,212.533005,11849170000
2018-11-11,212.479004,212.998993,170.188995,174.001007,174.001007,13646110000
2018-11-18,174.175003,179.151993,110.824997,113.494003,113.494003,15967540000
2018-11-25,113.125999,126.047997,101.769997,118.635559,118.635559,15948043315
2018-12-02,118.268150,120.562050,83.469719,92.159637,92.159637,14088010307
2018-12-09,92.035431,98.900032,82.829887,84.440811,84.440811,11774697155
2018-12-16,84.469406,119.094162,84.469406,116.759499,116.759499,16436421799
2018-12-23,117.273895,157.668701,115.650101,138.018341,138.018341,22880843542
2018-12-30,137.627457,160.824890,132.519394,155.638596,155.638596,19745966648
2019-01-06,155.804230,159.371445,125.244942,125.966530,125.966530,19049881010
2019-01-13,125.907227,130.856735,116.085968,124.519020,124.519020,18496011065
2019-01-20,124.632401,125.070389,114.676682,116.488739,116.488739,18035194702
2019-01-27,116.510315,116.685410,103.336464,110.430260,110.430260,19672798141
2019-02-03,110.490318,120.689735,102.934563,119.430885,119.430885,18988391999
2019-02-10,119.408966,125.550697,117.105774,123.260216,123.260216,22166679235
2019-02-17,123.182083,159.125870,123.091614,158.795425,158.795425,31680879091
2019-02-24,158.902405,165.549622,131.602921,134.206955,134.206955,31171917012
2019-03-03,134.786118,140.857880,125.402702,137.965332,137.965332,30846391404
2019-03-10,138.180496,144.558441,130.944153,142.398178,142.398178,32065793589
2019-03-17,142.238297,142.371918,135.855423,138.239868,138.239868,31309235874
2019-03-24,138.315353,149.613235,133.490158,142.092682,142.092682,32908351287
2019-03-31,142.139221,178.322052,140.697372,165.947205,165.947205,51961608335
2019-04-07,165.977249,184.377853,161.029739,164.513351,164.513351,51446465374
2019-04-14,164.476089,176.705811,159.555740,173.751266,173.751266,40950020520
2019-04-21,173.715408,176.850784,152.085678,158.434937,158.434937,46738305848
2019-04-28,158.499771,170.645935,153.186523,164.026581,164.026581,43500328362
2019-05-05,164.015259,203.466644,159.700653,194.304337,194.304337,55468387088
2019-05-12,194.163025,275.394440,183.653931,234.595230,234.595230,92536415631
2019-05-19,234.449463,263.740997,233.758667,251.759872,251.759872,73773181313
2019-05-26,251.724792,287.201630,247.245392,265.391266,265.391266,76723073490
2019-06-02,265.512726,272.807220,236.127213,245.738098,245.738098,60671969636
2019-06-09,245.540482,271.505585,229.257431,269.019318,269.019318,56981272669
2019-06-16,268.901154,315.189728,263.144440,309.380310,309.380310,53762702177
2019-06-23,309.416687,361.398682,278.573242,320.058899,320.058899,78927747376
2019-06-30,319.584045,322.789581,272.602570,287.547119,287.547119,65942082025
2019-07-07,287.603607,318.223114,263.068268,269.458801,269.458801,64015828045
2019-07-14,269.281616,269.641235,193.990417,229.119217,229.119217,61636876942
2019-07-21,229.167694,229.861664,203.893402,207.408310,207.408310,45887838410
2019-07-28,207.413773,224.623230,202.252899,222.490341,222.490341,40306507355
2019-08-04,222.580811,239.115906,203.793106,206.733536,206.733536,47934780707
2019-08-11,206.732239,216.598648,178.142563,185.687683,185.687683,46349547314
2019-08-18,185.841095,203.560150,182.689178,191.289566,191.289566,46775295259
2019-08-25,191.234787,193.442184,167.071411,172.469788,172.469788,44509236820
2019-09-01,172.458405,182.347992,168.341339,178.262619,178.262619,44137715881
2019-09-08,178.282593,188.446930,176.500916,188.105515,188.105515,45448565283
2019-09-15,188.068436,222.871689,186.447327,215.516205,215.516205,60283484601
2019-09-22,215.486557,216.086243,157.130325,174.572891,174.572891,59484922187
2019-09-29,174.612747,185.045532,166.997696,176.351517,176.351517,46529418767
2019-10-06,176.364380,195.318802,171.299774,180.826645,180.826645,55250377475
2019-10-13,180.861313,187.759872,171.005051,172.913025,172.913025,50287353242
2019-10-20,172.974762,195.942505,157.463425,179.835480,179.835480,61724086173
2019-10-27,179.932632,191.846756,177.682358,183.925720,183.925720,69171883404
